Manufacturer,Stock Code,Shaft Size,Outer Diameter,Compatible On,,,,,
Horizon,MT-HO/CUTTING-OPTION-2,20mm Exit Shaft,50mm,N/A,,,,,
Horizon,MT-04/COMBO,30mm Exit Shaft,50mm,N/A,,,,,
Horizon,MT-04/COMBO-FIX,30mm Exit Shaft,50mm,N/A,,,,,
Horizon,MT-04/COMBO-01,30mm Exit Shaft,50mm,N/A,,,,,
Horizon,MT-HO/COMBO,20mm Exit Shaft,50mm,N/A,,,,,
Horizon,MT-04,30mm Exit Shaft,50mm,N/A,,,,,
Horizon,MT-04,30mm Exit Shaft,50mm,N/A,,,,,
Horizon,MT-HO,20mm Exit Shaft,50mm,N/A,,,,,
Horizon,MT-HO/65,29.84mm Exit Shaft,65mm,"AFC-746,  AFC-744,  AFC-742 & AFC-762 machines",, AFC-742 & AFC-762 machines,,,
Horizon,MT-CR/30-CAS-01,30mm Exit Shaft,50mm,N/A,,,,,
Horizon,MT-CR/HO-20-CAS,20mm Exit Shaft,50mm,N/A,,,,,
Horizon,EF-MF/30-DSF,30mm Exit Shaft,50mm,AFC-566 FG,,,,,
Horizon,EF-MF/30-FP-DSF-01-B,30mm Exit Shaft,50mm,AFC-566 FG,,,,,
Horizon,FF-HO/20-DSF,20mm Exit Shaft,50mm,Most Horizon Folding Machines manufactured before 2012,,,,,
Horizon,FF-HO/20-FP-DSF-01-B,20mm Exit Shaft,Male: 51mm / Female: 50mm,Most Horizon Folding Machines manufactured before 2012,,,,,
Horizon,FF-MF/30-DSF,30mm Exit Shaft,50mm,AFC-566 FG Most Horizon Folding Machines manufactured since 2012,,,,,
Horizon,FF-MF/30-FP-DSF-01-B,30mm Exit Shaft,50mm,AFC-566 FG Most Horizon Folding Machines manufactured since 2012,,,,,
Kluge,FF-EC-FP,"31.75mm/1¼""","Male: 49.92mm/1.9655"" / Female: 51.52mm/2.0280""",,,,,,
Kolbus,QC-ADJ-KB/94-FP-01,30mm,94mm,KM410C, KM412, KM473, KM600,,
Kolbus,QC-ADJ-KB/94-FP-01,40mm,94mm,KM410C, KM412, KM473, KM600,,
Kolbus,QC-DEL-KB/26-6C-FP,26mm,60mm,Kolbus 470,,,,,
Kolbus,QC-DEL-KB/26-6C-FP-01,26mm,60mm,KM470, KM490, KM495,,,
Kolbus,QC-DEL-KB/26-FP-5-01,26mm,60mm,KM470, KM490, KM495,,,
Kolbus,QC-DEL-KB/26-FP-6-01,26mm,60mm,KM470, KM490, KM495,,,
Kolbus,QC-DEL-KB/26-FP-6,26mm,60mm,KM470, KM490, KM495,,,
Kolbus,QC-DEL-KB/26-FP-6,26mm,60mm,KM470, KM490, KM495,,,
Kolbus,QC-DEL-KB/114-FP-6,30mm,114mm,Kolbus 472, Kolbus 491,,,,
Kolbus,QC-DEL-KB/94-FP-6,30mm,94mm,Kolbus 473,,,,,
Kora,EF-KORA-01-FP,32mm,50mm,,,,,,
Longford,FF-LO-01,N/A,Male: 45mm / Female: 50.1mm,,,,,,
