Product Code,Description,Sales Price,Last Cost Price (Std)
TECH398,25mm I/D 44mm O/D Gripper Boss Support Rollers,0.00,30.31
TECH397,CreaseStream Mini 25mm I/D 44mm O/D,0.00,23.30
TECH396,H&H Fast Fit 35mm I/D 46mm O/D,0.00,96.33
TECH395,Web Perforator,0.00,85.60
TECH394R,Easy Fit ReBore Female Horizon AF406 25mm I/D 40mm O/D,0.00,0.00
TECH394,Easy Fit Horizon AF406 25mm I/D 40mm O/D,0.00,153.69
TECH393,Pantera Spine & Hinge Creaser,0.00,527.00
TECH392,Spine & Hinge Creaser for 30mm CSJ,0.00,199.75
TECH391,6 Crease CreaseStreamJunior Sample,0.00,207.46
TECH389,GUK Easy Fit 59.4mm Fixed,0.00,70.11
TECH388,Shoei 45/65 (2x Male 2x Female & 8x Top Support Rollers),0.00,564.89
TECH387B/SP,Wohlenberg Nylon Blanking Spacers,0.00,9.40
TECH387,Wohlenberg 98,0.00,860.00
TECH386,Fast Fit MBO 40mm with fixed female,0.00,112.21
TECH385,Crease Stream Plus Perforator (2 x Blue & 2 x Black Nylons),0.00,111.54
TECH384F,CreaseStream Plus Female 9 channels,0.00,27.51
TECH384EXM,Creasing Rib/Nylon Sleeve Holder 35mm CSP,0.00,27.52
TECH384,Crease Stream Plus 35mm Full Set (bearing female 9 settings),0.00,55.03
TECH383,Tri-Creaser Fast Fit H&H 40mm with Fixed Female,0.00,98.79
TECH382,Easy Fit 45mm I/D 67.5mm O/D with Nylon Creasing Ribs,0.00,90.76
TECH381F,Female Only for Econocrease,0.00,58.45
TECH381,Fast Fit Tri-Creaser to fit Econocrease Female,0.00,114.94
TECH380,Support Rollers 30mm I/D 50mm O/D,0.00,33.45
TECH379PB,CreaseStreamJunior Micro-Perf Blade Holder,0.00,19.69
TECH379F,CreaseStream Junior Females Only,0.00,13.72
TECH379EXM,CreaseStreamJunior Extra Male Roller,0.00,17.36
TECH379,Crease Stream Jnr Male & Female Set 6 channels,0.00,34.72
TECH378,New UB Binder 75mm O/D,0.00,234.87
TECH377,Easy Fit Tri-Creaser 45mm I/D 67.5mm O/D,0.00,77.13
TECH376,Muller Panda Top Creasing Unit,0.00,230.08
TECH375,Kolbus 94 mk 2,0.00,558.75
TECH374F,Fast Fit 35mm Fixed Female Only,0.00,32.38
TECH374,Fast Fit 35mm Tri-Creaser* Fixed,0.00,73.01
TECH373,Fast Fit Female Only 20mm I/D 50mm O/D,0.00,35.00
TECH372,Easy Fit H&H 25mm I/D 36.56mm O/D,0.00,57.89
TECH371,MBO 35mm Super Score (3 colours of nylon included),0.00,160.46
TECH370,Multi-Tool Shoei 65mm Creasing Cassette,0.00,72.58
TECH369,Kolbus Binder 60mm - 6 Creaser Set (no lugs),0.00,327.51
TECH368,CreaseStream Plus 35mm Full Set (Fixed Female 9 Channels),0.00,60.81
TECH367,MB Support Rollers 20mm I/D 40mm O/D,0.00,24.39
TECH366,MBO 35mm Adjustable Female,0.00,123.12
TECH365,MBO 35mm Screw Adjustable Fixed Female,0.00,186.21
TECH364,MBO 35mm Sliding Adjustable Bearing Female,0.00,144.31
TECH363,Crease Stream 2,0.00,450.00
TECH362,Old UB Binder,0.00,241.38
TECH361,Fixed Female for MB 20mm,0.00,35.00
TECH360,Shoei 35/55 3mm Spine Creaser Adjustable,0.00,185.85
TECH359F,Tech 359 Female Only,0.00,31.50
TECH359,New Style Fast Fit for Stahl 25mm*,0.00,65.16
TECH358F,Fast Fit 30mm Bearing Female Only,0.00,36.43
TECH358,New Style Fast Fit for MBO 30mm*,0.00,72.52
TECH357M,35mm Male for FP-01,0.00,0.00
TECH357F,35mm Fast Fit Female Only,0.00,51.42
TECH357C,Fast Fit Collar 35m Only,0.00,17.73
TECH357,New Style Fast Fit for Stahl/MBO 35/58mm*,0.00,92.15
TECH356,New Style Creasing Cassette Holder Stahl 25mm,0.00,76.91
TECH355,New Style Creasing Cassette Holder MBO 30mm,0.00,69.21
TECH354,New Style Creasing Cassette Holder 35mm,0.00,82.21
TECH353P,Horizon BQ470 Plate Only SHC,0.00,128.79
TECH353-SPARES,Incomplete Tech Number,0.00,0.00
TECH353,Horizon BQ470 6mm Hinge 2 Shaft System,0.00,347.55
TECH352,Multi-Tool Blade Holder - 25mm - GUK,0.00,235.37
TECH350,Uchida Strater Pack Tri-Creaser,0.00,0.00
TECH349,Horizon VP-66 Starter Pack Tri-Creaser,0.00,106.20
TECH347,Shoei Mini Fast Fit Tri-Creaser (Mod),0.00,93.46
TECH346,Horizon Tri-Creaser Easy Fit - 48mm O/D,0.00,108.65
TECH345C,Hohner Spine Creaser Clips only,0.00,13.63
TECH345,Hohner Coverfeeder Spine-Creaser,0.00,143.42
TECH344,Stahl Tri-Creaser Easy Fit - 45mm I/D 75mm O/D,0.00,74.85
TECH343,Agor 36/58mm Tri-Creaser Fast Fit Shortened Version,0.00,107.31
TECH342,Old Style Muller Binder Gripper Supprt Rollers 51.38 O/D,0.00,0.00
TECH340,35mm V shape fixed female,0.00,27.79
TECH339,50mm O/D Muller Bottom Support Roller without bands,0.00,13.13
TECH338,50mm O/D Muller Top Support Roller with gripper bands,0.00,14.24
TECH337,36mm Narrow Gripper Boss Support Rollers,0.00,66.66
TECH336,Horizon VP-66 30mm Feed Roller,0.00,39.85
TECH335,Horizon 50mm Tri-Creaser Fast Fit Shortened Version,0.00,105.68
TECH334,25mm Gripper Boss Support Rollers,0.00,31.68
TECH333,Uchida Gripper Boss Support Rollers (1 set is 4 pairs),0.00,52.76
TECH332,Uchida Tri-Creaser Fast Fit Starter Package,0.00,158.65
