Product Code,Description,Sales Price,Cost Price,Type,Category,Margin %,Gina Pricing,Gina %,Uwe Pricing,Uwe %,New Distributor Price,New Distributor Price %,Last Order Date
MPB-ROS-BA-25,25 tpi Micro-Perforation Blade,99,9.86,consumable,Micro-Perforation Blade,84.3,32,50.8,,,59.40,60.0,12/10/2022
MPB-ROS-BA-17,17 tpi Micro-Perforation Blade,99,7.85,consumable,Micro-Perforation Blade,87.5,32,50.8,,,59.40,60.0,12/10/2022
MPB-MB-72,72 tpi Micro-Perforation Blade,99,7.79,consumable,Micro-Perforation Blade,87.6,32,50.8,,,59.40,60.0,
MPB-MB-52,52 tpi Micro-Perforation Blade,99,7.05,consumable,Micro-Perforation Blade,88.8,32,50.8,,,59.40,60.0,31/03/2025
MPB-MB-25,25 tpi Micro-Perforation Blade,99,30.98,consumable,Micro-Perforation Blade,50.8,32,50.8,,,59.40,60.0,25/11/2025
MPB-MB-17,17 tpi Micro-Perforation Blade,99,9.98,consumable,Micro-Perforation Blade,84.2,32,50.8,,,59.40,60.0,25/11/2025
MPB-8,8 tpi Micro-Perforation Blade,99,10,consumable,Micro-Perforation Blade,84.1,32,50.8,,,59.40,60.0,30/04/2025
MPB-72/BF/22MM,72 tpi Micro-Perforation Blade,99,8.35,consumable,Micro-Perforation Blade,86.7,32,50.8,,,59.40,60.0,13/12/2018
MPB-72/30MM,72 tpi Micro-Perforation Blade,99,8.75,consumable,Micro-Perforation Blade,86.1,32,50.8,,,59.40,60.0,25/06/2025
MPB-72/25MM,72 tpi Micro-Perforation Blade,99,8.45,consumable,Micro-Perforation Blade,86.6,32,50.8,,,59.40,60.0,20/09/2024
MPB-72-GUK,72 tpi Micro-Perforation Blade,99,9.45,consumable,Micro-Perforation Blade,85,32,50.8,,,59.40,60.0,02/11/2021
MPB-72,72 tpi Micro-Perforation Blade,99,19.98,consumable,Micro-Perforation Blade,68.3,32,50.8,,,59.40,60.0,13/03/2025
MPB-7,7 tpi Micro-Perforation Blade,99,26.98,consumable,Micro-Perforation Blade,57.2,32,50.8,,,59.40,60.0,10/01/2024
MPB-52/SH-65,Micro-Perf Blade - 52 TPI - Shoei 65mm,99,13.2,consumable,Micro-Perforation Blade,79,32,50.8,,,59.40,60.0,01/03/2017
MPB-52/SH-55,Micro-Perf Blade - 52 TPI - Shoei 55mm,99,9.75,consumable,Micro-Perforation Blade,84.5,32,50.8,,,59.40,60.0,23/05/2016
MPB-52/RO,52 tpi Micro-Perforation Blade,99,28.98,consumable,Micro-Perforation Blade,54,32,50.8,,,59.40,60.0,15/01/2024
MPB-52/MF-40,52 tpi Micro-Perforation Blade,99,10.15,consumable,Micro-Perforation Blade,83.9,32,50.8,,,59.40,60.0,
MPB-52/BF/28MM,52 tpi Micro-Perforation Blade,99,28.95,consumable,Micro-Perforation Blade,54,32,50.8,,,59.40,60.0,22/11/2024
MPB-52/BF/22MM,52 tpi Micro-Perforation Blade,99,28.48,consumable,Micro-Perforation Blade,54.8,32,50.8,,,59.40,60.0,04/06/2025
MPB-52/46MM,Micro-Perf Blade - 52 TPI - 46mm I/D,99,10,consumable,Micro-Perforation Blade,84.1,32,50.8,,,59.40,60.0,19/07/2010
MPB-52/30MM,52 tpi Micro-Perforation Blade,99,19.39,consumable,Micro-Perforation Blade,69.2,32,50.8,,,59.40,60.0,24/02/2025
MPB-52/25MM,52 tpi Micro-Perforation Blade,99,16.98,consumable,Micro-Perforation Blade,73,32,50.8,,,59.40,60.0,04/06/2025
MPB-52-HH/30MM,52 tpi Micro-Perforation Blade,99,7.85,consumable,Micro-Perforation Blade,87.5,32,50.8,,,59.40,60.0,03/05/2022
MPB-52-GUK,52 tpi Micro-Perforation Blade,99,26.98,consumable,Micro-Perforation Blade,57.2,32,50.8,,,59.40,60.0,10/01/2024
MPB-52,52 tpi Micro-Perforation Blade,99,18.98,consumable,Micro-Perforation Blade,69.9,32,50.8,,,59.40,60.0,07/04/2025
MPB-40/30MM,40 tpi Micro-Perforation Blade,99,8.95,consumable,Micro-Perforation Blade,85.8,32,50.8,,,59.40,60.0,29/07/2024
MPB-40,40 tpi Micro-Perforation Blade,99,8.5,consumable,Micro-Perforation Blade,86.5,32,50.8,,,59.40,60.0,04/06/2025
MPB-26,Micro-Perf Blade 26TPI -35mm,99,9.04,consumable,Micro-Perforation Blade,85.7,32,50.8,,,59.40,60.0,23/12/2019
MPB-25/SH-65,Micro-Perf Blade - 25 TPI - Shoei 65mm,99,12.32,consumable,Micro-Perforation Blade,80.4,32,50.8,,,59.40,60.0,09/01/2019
MPB-25/SH-55,Micro-Perf Blade - 25 TPI - Shoei 55mm,99,9.25,consumable,Micro-Perforation Blade,85.3,32,50.8,,,59.40,60.0,09/05/2014
MPB-25/RO,25 tpi Micro-Perforation Blade,99,19.98,consumable,Micro-Perforation Blade,68.3,32,50.8,,,59.40,60.0,21/07/2023
MPB-25/MO,25 tpi Split Micro-Perforation Blade,99,45.98,consumable,Micro-Perforation Blade,27,32,50.8,,,59.40,60.0,30/04/2025
MPB-25/MF-40,25 tpi Micro-Perforation Blade,99,10.15,consumable,Micro-Perforation Blade,83.9,32,50.8,,,59.40,60.0,
MPB-25/BF/28MM,25 tpi Micro-Perforation Blade,99,26.98,consumable,Micro-Perforation Blade,57.2,32,50.8,,,59.40,60.0,22/11/2024
MPB-25/BF/22MM,25 tpi Micro-Perforation Blade,99,26.98,consumable,Micro-Perforation Blade,57.2,32,50.8,,,59.40,60.0,30/03/2017
