Action Required,Product Code,Description,New Sales Price,Cost Price,Full Price Margin %,, ,New Distributor Price,Cost Price ,Distributor Margin %,  ,   ,Type,Category,    ,Distributor %
,EF-SM/35-FP,Tri-Creaser Easy Fit to fit Stahl/Heidelberg & MBO 35mm shaf,1096.7,14.79,98.7,,,658.02,14.79,97.8,,,tool,Easy-Fit Tri-Creaser,,60
,EF-SM/35-FIX,Tri-Creaser Easy Fit to fit Stahl/Heidelberg & MBO 35mm shaf,1096.7,53.43,95.1,,,658.02,53.43,91.9,,,tool,Easy-Fit Tri-Creaser,,60
NEEDS PRICING,EF-SM/35-5CREASE,Easy-FIt 5 Creases at 5mm apart,1096.7,209.74,80.9,,,,209.74,,,,tool,Easy-Fit Tri-Creaser,,
NEEDS PRICING,EF-SM/35-3CREASE,Easy Fit 3 Creases at 20mm apart,1096.7,322.46,70.6,,,,322.46,,,,tool,Easy-Fit Tri-Creaser,,
,EF-SH/35-FP,Tri-Creaser Easy Fit to fit Shoei 35mm Exit Shaft & 65mm Out,1096.7,100.52,90.8,,,658.02,100.52,84.7,,,tool,Easy-Fit Tri-Creaser,,60
,EF-SAMC-FP,SAMC Easy-Fit Tri-Creaser,1096.7,12.36,98.9,,,658.02,12.36,98.1,,,tool,Easy-Fit Tri-Creaser,,60
NEEDS PRICING,EF-ROS/25-FP-01,Easy Fit Tri-Creaser with Large Female - 66.52mm O/D,1096.7,13.54,98.8,,,,13.54,,,,tool,Easy-Fit Tri-Creaser,,
,EF-ROS/25-FP,Tri-Creaser Easy Fit to fit Rosback 25.43mm shafts,1096.7,102.2,90.7,,,658.02,102.2,84.5,,,tool,Easy-Fit Tri-Creaser,,60
,EF-RO/20-REV,Tri-Creaser Easy Fit to fit Rollem 25.43mm shafts,1096.7,195.51,82.2,,,658.02,195.51,70.3,,,tool,Easy-Fit Tri-Creaser,,60
,EF-RO/20-FP,Tri-Creaser Easy Fit to fit Rollem 25.43mm shafts,1096.7,111.6,89.8,,,658.02,111.6,83,,,tool,Easy-Fit Tri-Creaser,,60
,EF-MF/40-FIX,Tri-Creaser Easy Fit to fit MBO 40mm shafts,1096.7,89.07,91.9,,,658.02,89.07,86.5,,,tool,Easy-Fit Tri-Creaser,,60
,EF-MF/30-FP,Tri-Creaser Easy Fit to fit MBO 30mm shafts,1096.7,164.18,85,,,658.02,164.18,75,,,tool,Easy-Fit Tri-Creaser,,60
,EF-MB/20-FP,Tri-Creaser Easy Fit to fit MB 20mm shafts,1096.7,161.23,85.3,,,658.02,161.23,75.5,,,tool,Easy-Fit Tri-Creaser,,60
,EF-KORA/01-FP,Tri-Creaser Easy Fit to fit Kora Machine,1096.7,159.33,85.5,,,658.02,159.33,75.8,,,tool,Easy-Fit Tri-Creaser,,60
,EF-ITA/25-FP,Italian Easy-Fit Tri-Creaser - 59mm O/D,1096.7,12.36,98.9,,,658.02,12.36,98.1,,,tool,Easy-Fit Tri-Creaser,,60
,EF-HO/65-FP,Tri-Creaser Easy Fit to fit Horizon 29.84mm shafts,1096.7,138.84,87.3,,,658.02,138.84,78.9,,,tool,Easy-Fit Tri-Creaser,,60
