Product Code,Description,Original Sales Price,New Sales Price,Difference,Cost Price,Type,Category,Margin %,Gina Pricing,Gina %,Uwe Pricing,Uwe %,New Distributor Price,New Distributor Price %,Last Order Date
TECH575,Quad-Creaser to fit Horizon Binder SB15,0,0,,0,consumable,NEGLECTED,,,,,,,,
TECH574,Pratham Pharma score 20mm,0,0,,0,consumable,NEGLECTED,,,,,,,,
TECH573,Pratham Pharma score 30mm,0,0,,0,consumable,NEGLECTED,,,,,,,,
TECH572,Pratham Pharma score 20mm,0,0,,0,consumable,NEGLECTED,,,,,,,,
TECH571,20mm Tri-Creaser Fast Fit Fixed Orange Channels Only,0,0,,0,consumable,NEGLECTED,,,,,,,,
TECH570,Vijuk/GUK Pharma Score,0,0,,0,consumable,NEGLECTED,,,,,,,,
TECH569,Fast Fit DSF Duplo DC-746,0,0,,0,consumable,NEGLECTED,,,,,,,,
TECH568,End Flap Creaser for Kolbus,0,0,,0,consumable,NEGLECTED,,,,,,,,
TECH566,Adjustable Wellbound,0,0,,305.53,consumable,NEGLECTED,,,,,,,,
TECH565,Quad Creaser for Muller VareoBinder 30mm,0,0,,197.8,consumable,NEGLECTED,,,,,,,,
TECH563,28mm Wellbound 59.5mm O/D,0,0,,237.73,consumable,NEGLECTED,,,,,,,,
TECH562,Double Score Female Attachmentb for MB,0,0,,79.45,consumable,NEGLECTED,,,,,,,,
TECH561,25mm Narrow Fast Fit Single Channel Female,0,0,,985.61,consumable,NEGLECTED,,,,,,,,
TECH560,Modified Version of TECH068,0,0,,163.37,consumable,NEGLECTED,,,,,,,,
TECH550,Horizon 24.8 Micro Perf,0,0,,161.3,consumable,NEGLECTED,,,,,,,,
TECH549,Multi-Tool H&H 25,0,0,,101.25,consumable,NEGLECTED,,,,,,,,
TECH548,Wohlenberg 6 Creaser,0,0,,2161.53,consumable,NEGLECTED,,,,,,,,
TECH545,Tri Creaser Fast Fit Rosback Advance Female Only,0,0,,92.9,consumable,NEGLECTED,,,,,,,,
TECH544,CSM - Accelerator Shaft Support,55,55,0.00,19.14,consumable,,65.2,,,,,,,07/12/2022
