product_code,standard_price,show_in_distributor_portal
TWS-ID/GUK35-4,20.3,TRUE
TWS-ID/GUK35-3,20.3,TRUE
TWS-ID/GUK35-1,20.3,TRUE
TWS-ID/DCM-5,20.3,TRUE
TWS-ID/DCM-4,20.3,TRUE
TWS-ID/AGOR-5,20.3,TRUE
TWS-ID/AGOR-3,20.3,TRUE
TWS-ID/35-4,20.3,TRUE
TWS-ID/35-3,20.3,TRUE
TWS-ID/35,20.3,TRUE
TWS-ID/25-4,20.3,TRUE
TWS-ID/25-3,20.3,TRUE
TWS-ID/25,20.3,TRUE
TRI-WEB-05,2341,TRUE
TRI-WEB-04,1264,TRUE
TRI-WEB-03,1081,TRUE
TRI-WEB-02,1081,TRUE
TRI-WEB-01,1081,TRUE
THIN-GB/36-01,100,TRUE
TC-STA-SM/35-FP,350,TRUE
TC-STA-GW/FP,418,TRUE
TC-ROT-CR-30/FP,418,TRUE
TC-RO-CA/25-FP,418,TRUE
TC-DIG-RO/20-FP,418,TRUE
TC-DEL-ST/50-FP,418,TRUE
TC-DEL-ST/25-FP,418,TRUE
TC-DEL-SM/35-FP,418,TRUE
TC-DEL-SH/65-FP,418,TRUE
TC-DEL-SH/55-FP,418,TRUE
TC-DEL-MG/15-FP,418,TRUE
TC-DEL-MF/60-FP,530,TRUE
TC-DEL-MF/30-FP-2,418,TRUE
TC-DEL-MF/30-FP,418,TRUE
TC-DEL-MA/32-FP,530,TRUE
TC-DEL-HO/25-FP,418,TRUE
TC-DEL-HO/20-FP-USA,418,TRUE
TC-DEL-HO/20-FP,418,TRUE
TC-DEL-HH/35-FP,418,TRUE
TC-DEL-HH/30-FP,418,TRUE
TC-DEL-GU/35-FP-2,418,TRUE
TC-DEL-GU/35-FP,418,TRUE
TC-DEL-GA/01-FP,530,TRUE
TC-DEL-FI/64-FP,530,TRUE
TC-DEL-FI/40-FP,530,TRUE
TC-DEL-DM/30-FP,418,TRUE
TC-DEL-CA/FO-FP-USA/PC,22,TRUE
TC-DEL-CA/FO-FP-USA,418,TRUE
TC-DEL-BR/35-FP,418,TRUE
TC-DEL-BO/35-FP,418,TRUE
TC-DEL-BF/28-FP,418,TRUE
TC-DEL-BF/22-FP,418,TRUE
TC-DEL-BF/22-FIXED,418,TRUE
SP-SHC/35-RD,20,TRUE
SP-MT/SH-55-0.8,3,TRUE
SP-MT/35-6,3,TRUE
SP-MT/35-5,3,TRUE
SP-MT/35-4,3,TRUE
SP-MT/35-3,3,TRUE
SP-MT/35-2,3,TRUE
SP-MT/35-1,3,TRUE
SP-MT/30-6,3,TRUE
SP-MT/30-5,3,TRUE
SP-MT/30-4,3,TRUE
SP-MT/30-3,3,TRUE
SP-MT/30-2,3,TRUE
SP-MT/30-1,3,TRUE
SP-MT/25-6,3,TRUE
SP-MT/25-5,3,TRUE
SP-MT/25-4,3,TRUE
SP-MT/25-3,3,TRUE
SP-MT/25-2,3,TRUE
SP-MT/25-1,3,TRUE
SHOEI-65/02,1390,TRUE
SHOEI-65/01,1450,TRUE
SHOEI-55/01,1270,TRUE
SH-GB/65-FP,100,TRUE
SH-GB/55-FP,100,TRUE
SH-GB/15-FP-GRIP,100,TRUE
SH-GB/15-FP,100,TRUE
SHC-ST-ADJ/25-FP,892,TRUE
SHC-STA-ADJ/30-FP,892,TRUE
SHC-STA-ADJ/04-FP,892,TRUE
SHC-STA-ADJ/03-FP,892,TRUE
SHC-SAMC-FP,1055,TRUE
SHC-RO,766,TRUE
SHC-PC-ADJ/04-Y,22,TRUE
SHC-MF/30-02,955,TRUE
SHC-MF/30-01-B,955,TRUE
SHC-MF/30-01,955,TRUE
SHC-GUK-2-B,892,TRUE
SHC-GUK-2,1055,TRUE
SHC-ADJ-MF/30-FP,955,TRUE
SHC-ADJ/DM-FP,1055,TRUE
SHC-ADJ/04-FP,955,TRUE
SHC-04-B,955,TRUE
SHC-01,1055,TRUE
SC-SH-01,640,TRUE
SC-OS-02,640,TRUE
SC-OS-01,640,TRUE
SC-MU-SP,3,TRUE
SC-MU-06,955,TRUE
SC-MU-05,955,TRUE
SC-MU-03,640,TRUE
SC-MU-02-TEMPO,640,TRUE
SC-MU-02,640,TRUE
SC-MU/PC-RB-5-Y-MOD,22,TRUE
SC-MU/PC-RB-5-Y,22,TRUE
SC-MU/PC-RB-5-W-MOD,22,TRUE
SC-MU/PC-RB-5-W,22,TRUE
SC-MU/PC-RB-5-R,22,TRUE
SC-MU/PC-RB-5-MOD,22,TRUE
SC-MU/PC-RB-5-B-MOD,22,TRUE
SC-MU/PC-RB-5-B,22,TRUE
SC-MU/PC-RB-5,22,TRUE
SC-MU/ADJ-LF-4C-FP,906,TRUE
SC-MU/ADJ-FP-01,1085,TRUE
SC-MU/ADJ-6C-FP,1283,TRUE
SC-HORSESHOE,577,TRUE
SC-HOR/25-FP-DSF-01,850,TRUE
SC-HOR/25-FP,640,TRUE
SC-HO-02,955,TRUE
SC-HO-01,955,TRUE
SC-HD-04,1080,TRUE
SC-HD-03,955,TRUE
SC-HD-02,955,TRUE
SC-HD-01,955,TRUE
SC-DU-01,955,TRUE
SC-DSF/HOR-25-NY-Y,29,TRUE
SC-DSF/HOR-25-NY-R,29,TRUE
SC-DSF/HOR-25-NY-B,29,TRUE
SC-17,111,TRUE
SC-10,111,TRUE
RS-NY/FE-Y,29,TRUE
RS-NY/FE-R,29,TRUE
RS-NY/FE-B,29,TRUE
RS-NY/FE,29,TRUE
QC-WO/SP,20,TRUE
QC-MU-TRE/PC-W,22,TRUE
QC-MU-TRE/PC,22,TRUE
QC-MU-PO/PC-Y,22,TRUE
QC-MU-PO/PC-W,22,TRUE
QC-MU-PO/PC-O,22,TRUE
QC-MU-PO/PC-B,22,TRUE
QC-MU-PO/PC,22,TRUE
QC-MU-PAN/PC-B,33.37,TRUE
QC-MU-PAN/PC,33.37,TRUE
QC-MU-PA01/PC-Y-T,22,TRUE
QC-MU-PA01/PC-Y-B,22,TRUE
QC-MU-PA01/PC-W-T,22,TRUE
QC-MU-PA01/PC-W-B,22,TRUE
QC-MU-PA01/PC-T,22,TRUE
QC-MU-PA01/PC-O-T,22,TRUE
QC-MU-PA01/PC-O-B,22,TRUE
QC-MU-PA01/PC-B-T,22,TRUE
QC-MU-PA01/PC-B-B,22,TRUE
QC-MU-PA01/PC-B,22,TRUE
QC-MU-PA/PC-Y,22,TRUE
QC-MU-PA/PC-W,22,TRUE
QC-MU-PA/PC-R,22,TRUE
QC-MU-PA/PC-B,22,TRUE
QC-MU-PA/PC,22,TRUE
QC-MU-ALE/PC-Y,33.37,TRUE
QC-MU-ALE/PC-BLK,33.37,TRUE
QC-MU-AG-30-FP,1207,TRUE
QC-MU/SIG-FP-6,1144,TRUE
QC-MU/PO-FP-6,892,TRUE
QC-MU/PAN-FP-6,1270,TRUE
QC-MU/PA-FP-6-01-DC,1333,TRUE
QC-MU/PA-FP-6-01,1333,TRUE
QC-MU/PA-FP-6,955,TRUE
QC-MU/ALE-LF-4C-FP,1493,TRUE
QC-MU/ALE-FP-6,1712.2,TRUE
QC-MPB-2S/30-FP-6,860,TRUE
QC-KB-94-Y,33.37,TRUE
QC-KB-94-W,33.37,TRUE
QC-KB-94-O,22,TRUE
QC-KB-94-B,33.37,TRUE
QC-KB-94,33.37,TRUE
QC-HO-2S/25-FP-6,986,TRUE
QC-GB-01,100,TRUE
QC-DEL-WO-98/PC-W,22,TRUE
QC-DEL-WO-98/PC-O,22,TRUE
QC-DEL-WO-98/PC,20.86,TRUE
QC-DEL-WO/98-FP-6,1733.68,TRUE
QC-DEL-WO/98-ENDFLAP-FP,910,TRUE
QC-DEL-WO/98-ADJ-PC-O,22,TRUE
QC-DEL-WO/98-ADJ,1733.68,TRUE
QC-DEL-UB-6-01/PC-B,22,TRUE
QC-DEL-UB-6-01/PC,22,TRUE
QC-DEL-UB-6/PC-EXH,22,TRUE
QC-DEL-UB-6/PC,22,TRUE
QC-DEL-UB/6-FP-01,1396,TRUE
QC-DEL-UB/6-FP,1056,TRUE
QC-DEL-MPB/PC-Y,22,TRUE
QC-DEL-MPB/PC-R,22,TRUE
QC-DEL-MPB/PC-B,22,TRUE
QC-DEL-MPB/30-FP-5-B,860,TRUE
QC-DEL-MPB/30-FP-5,860,TRUE
QC-DEL-KB-94/PC,22,TRUE
QC-DEL-KB-26/PC-Y,27,TRUE
QC-DEL-KB-26/PC,22,TRUE
QC-DEL-KB-114/PC-B,22,TRUE
QC-DEL-KB-114/PC,22,TRUE
QC-DEL-KB/94-FP-6,1510,TRUE
QC-DEL-KB/26-FP-6-01,1176,TRUE
QC-DEL-KB/26-FP-5-01,1176,TRUE
QC-DEL-KB/26-6C-FP-01,1244,TRUE
QC-DEL-KB/114-FP-6,2290,TRUE
QC-DEL-GO-6/PC-Y,22,TRUE
QC-DEL-GO-6/PC-B,22,TRUE
QC-DEL-GO/6-FP,1396,TRUE
QC-BI-PC/YELLOW,22,TRUE
QC-BI-PC/WHITE,22,TRUE
QC-BI-PC/ORANGE,22,TRUE
QC-BI-PC/BLUE,22,TRUE
QC-BI-PC/BLACK,22,TRUE
QC-ADJ-KB/94-FP-01,2290,TRUE
QC-03,530,TRUE
PS-STA-SM/35-FP,190,TRUE
PD-WEB,580,TRUE
PD-ST/MAILER-FP,356,TRUE
PD-NY/SL-ROS-B,29.2,TRUE
PD-NY/SL-ROS,29.2,TRUE
PD-NY/SL-RO-B,29.2,TRUE
PD-NY/SL-RO,29.2,TRUE
PD-NY/SL-PET-40,29.2,TRUE
PD-NY/SL-MO-B,29.2,TRUE
PD-NY/SL-MO,29.2,TRUE
PD-NY/SL-MF-40-B,29.2,TRUE
