Product Code,Description,Type,Category,Old Customer Price (£),New Customer Price (£),Price Change (£),Price Change (%)
MPB-52/50MM,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,73.00,99.00,26.00,35.6
MPB-52/BF/22MM,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-52/BF/28MM,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-52/MF-40,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-52/RO,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-52/SH-55,Micro-Perf Blade - 52 TPI - Shoei 55mm,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-52/SH-65,Micro-Perf Blade - 52 TPI - Shoei 65mm,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-52/WEB,Micro-Perf Blades for Web Perforator 52TPI,consumable,Micro-Perforation Blade,174.00,99.00,-75.00,-43.1
MPB-7,7 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-72,72 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-72-GUK,72 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-72/25MM,72 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-72/30MM,72 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-72/BF/22MM,72 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-8,8 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-MB-17,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-MB-25,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-MB-52,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-MB-72,72 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-ROS-BA-17,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-ROS-BA-25,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-ROS-BA-52,52 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-ROS-BA-72,72 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-ST/MAILER-17,Micro-Perf Blade - 17 TPI - Stahl Mailer-Stop,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-ST/MAILER-25,Micro-Perf Blade - 25 TPI - Stahl Mailer-Stop,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
MPB-ST/MAILER-52,Micro-Perf Blade - 52 TPI - Stahl Mailer-Stop,consumable,Micro-Perforation Blade,63.00,99.00,36.00,57.1
PA-WEB,Micro-Perforating Anvils for Web,consumable,Micro-Perforation Blade,252.00,471.67,219.67,87.2
CP-HO-BLACK/BQ500,CP Applicator Black Nylon Sleeve 8mm to fit Horizon BQ500,consumable,Nylon Sleeve - CP Applicator,42.00,62.57,20.57,49.0
CP-HO-BLUE/BQ500,CP Applicator Blue Nylon Sleeve 8mm to fit Horizon BQ500,consumable,Nylon Sleeve - CP Applicator,42.00,62.57,20.57,49.0
CP-NY/SL-25,CP-Applicator & Multi-Tool Black Nylon Sleeve to fit Stahl/H,consumable,Nylon Sleeve - CP Applicator,47.00,62.57,15.57,33.1
CP-NY/SL-25-B,CP-Applicator & Multi-Tool Blue Nylon Sleeve to fit Stahl/He,consumable,Nylon Sleeve - CP Applicator,47.00,62.57,15.57,33.1
CP-NY/SL-30,CP-Applicator & Multi-Tool Black Nylon Sleeve to fit MBO & H,consumable,Nylon Sleeve - CP Applicator,47.00,62.57,15.57,33.1
CP-NY/SL-30-B,CP-Applicator & Multi-Tool Blue Nylon Sleeve to fit MBO & Ho,consumable,Nylon Sleeve - CP Applicator,47.00,62.57,15.57,33.1
CP-NY/SL-30-HH,CP Applicator Black Nylon Sleeve H&H 30mm,consumable,Nylon Sleeve - CP Applicator,47.00,62.57,15.57,33.1
CP-NY/SL-30-HH-B,CP Applicator Blue Nylon Sleeve H&H 30mm,consumable,Nylon Sleeve - CP Applicator,47.00,62.57,15.57,33.1
CP-NY/SL-35,CP-Applicator & Multi-Tool Black Nylon Sleeve to fit Stahl/H,consumable,Nylon Sleeve - CP Applicator,47.00,62.57,15.57,33.1
CP-NY/SL-35-B,CP-Applicator & Multi-Tool Blue Nylon Sleeve to fit Stahl/He,consumable,Nylon Sleeve - CP Applicator,47.00,62.57,15.57,33.1
CP-NY/SL-35-HH,CP-Applicator & Multi-Tool Black Nylon Sleeve to fit Herzog,consumable,Nylon Sleeve - CP Applicator,47.00,62.57,15.57,33.1
CP-NY/SL-35-HH-B,CP-Applicator & Multi-Tool Blue Nylon Sleeve to fit Herzog a,consumable,Nylon Sleeve - CP Applicator,47.00,62.57,15.57,33.1
CP-NY/SL-36,CP-Applicator & Multi-Tool Black Nylon Sleeve to fit Agor &,consumable,Nylon Sleeve - CP Applicator,47.00,62.57,15.57,33.1
CP-NY/SL-36-B,CP-Applicator & Multi-Tool Blue Nylon Sleeve to fit Agor & M,consumable,Nylon Sleeve - CP Applicator,47.00,62.57,15.57,33.1
CP-NY/SL-40-B-MOD,CP-Applicator & Multi-Tool Blue Nylon Sleeve to fit MBO 40mm,consumable,Nylon Sleeve - CP Applicator,47.00,62.57,15.57,33.1
CP-NY/SL-40-MOD,CP-Applicator & Multi-Tool Black Nylon Sleeve to fit MBO 40m,consumable,Nylon Sleeve - CP Applicator,47.00,62.57,15.57,33.1
CP-NY/SL-BF-22,CP Applicator Black Nylon Sleeve Small Baum -22mm,consumable,Nylon Sleeve - CP Applicator,47.00,62.57,15.57,33.1
CP-NY/SL-BF-22-B,CP Applicator Blue Nylon Sleeve Small Baum -22mm,consumable,Nylon Sleeve - CP Applicator,47.00,62.57,15.57,33.1
CP-NY/SL-BF-28,CP Applicator Black Nylon Sleeve Large Baum - 28mm,consumable,Nylon Sleeve - CP Applicator,47.00,62.57,15.57,33.1
CP-NY/SL-BF-28-B,CP Applicator Blue Nylon Sleeve Large Baum - 28mm,consumable,Nylon Sleeve - CP Applicator,47.00,62.57,15.57,33.1
CP-NY/SL-GUK,CP-Applicator & Multi-Tool Black Nylon Sleeve to fit GUK 35m,consumable,Nylon Sleeve - CP Applicator,47.00,62.57,15.57,33.1
CP-NY/SL-GUK-B,CP-Applicator & Multi-Tool Blue Nylon Sleeve to fit GUK 35mm,consumable,Nylon Sleeve - CP Applicator,47.00,62.57,15.57,33.1
CP-NY/SL-HO,CP-Applicator & Multi-Tool Black Nylon Sleeve to fit Horizon,consumable,Nylon Sleeve - CP Applicator,47.00,62.57,15.57,33.1
CP-NY/SL-HO-B,CP-Applicator & Multi-Tool Blue Nylon Sleeve to fit Horizon,consumable,Nylon Sleeve - CP Applicator,47.00,62.57,15.57,33.1
CP-NY/SL-SH-65-B,CP Applicator Blue Nylon Sleeve Shoei 35/65,consumable,Nylon Sleeve - CP Applicator,47.00,62.57,15.57,33.1
MT-NY/SL-25,Multi-Tool Nylon Sleeve - 25mm - Black,consumable,Nylon Sleeve - Multi-Tool,42.00,48.67,6.67,15.9
