Product Code,Description,Type,Category,,Old Sales Price,New Sales Price,Difference,Percentage Difference, ,  ,Old Distributor Price,New Distributor Price,Difference ,Percentage Difference 
MPB-17/BF/22MM,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-17/4SHEET,17 tpi Micro-Perforation Blade with extra tie depth,consumable,Micro-Perforation Blade,,65,99,34,52.3,,,32,59.4,27.4,85.6
MPB-17/46MM,Micro-Perf Blade - 17 TPI - 46mm I/D,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-17/30MM,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-17/25MM,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-17-HH/30MM,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-17-GUK,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-17,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-12/RO,12 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-12/MF-40,12 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-12/BF/22MM,12 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-12/30MM,12 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-12/25MM,12 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-12-HH/30,12 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-12-GUK,12 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-12,12 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
MPB-10/25MM,10 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,,63,99,36,57.1,,,32,59.4,27.4,85.6
KB-SPRING,Kolbus Pressure Strengthening Spring,consumable,NEGLECTED,,7.5,7.5,0,0,,,2.44,4.5,2.06,84.4
MOULD-152,Tri-Creaser Fast Fit Blue Split Gripper Crease,consumable,Rubber Creasing Band,,19,26,7,36.8,,,8.47,15.6,7.13,84.2
MOULD-151,Tri-Creaser Fast Fit Orange Split Gripper Crease,consumable,Rubber Creasing Band,,19,26,7,36.8,,,8.47,15.6,7.13,84.2
MOULD-146,Tri-Creaser Fast Fit Yellow Split Gripper Crease,consumable,Rubber Creasing Band,,19,26,7,36.8,,,8.47,15.6,7.13,84.2
MOULD-147,Tri-Creaser Fast Fit Blue Split Gripper Crease,consumable,Rubber Creasing Band,,23,26,3,13,,,8.47,15.6,7.13,84.2
MOULD-56B,Tri-Creaser Easy Fit Yellow Endura Gripper Crease,consumable,Rubber Creasing Band,,19,26,7,36.8,,,8.48,15.6,7.12,84
MOULD-131B,Tri-Creaser Easy Fit Blue Endura Gripper Crease,consumable,Rubber Creasing Band,,19,26,7,36.8,,,8.48,15.6,7.12,84
MOULD-17B,Tri-Creaser Easy Fit Blue Endura Gripper Crease,consumable,Softer Rubber Creasing Band,,23,26,3,13,,,8.48,15.6,7.12,84
MOULD-16B,Tri-Creaser Easy Fit Yellow Endura Gripper Crease,consumable,Softer Rubber Creasing Band,,23,26,3,13,,,8.48,15.6,7.12,84
MOULD-133B,Tri-Creaser Easy Fit Orange Endura Gripper Crease,consumable,Softer Rubber Creasing Band,,22,26,4,18.2,,,8.48,15.6,7.12,84
MOULD-132B,Tri-Creaser Easy Fit Pink Endura Gripper Crease,consumable,Softer Rubber Creasing Band,,22,26,4,18.2,,,8.48,15.6,7.12,84
MOULD-79B,Tri-Creaser Easy Fit Orange Endura Gripper Crease,consumable,Softer Rubber Creasing Band,,23,26,3,13,,,8.48,15.6,7.12,84
MOULD-78B,Tri-Creaser Easy Fit Blue Endura Gripper Crease,consumable,Softer Rubber Creasing Band,,23,26,3,13,,,8.48,15.6,7.12,84
MOULD-77B,Tri-Creaser Easy Fit Yellow Endura Gripper Crease,consumable,Softer Rubber Creasing Band,,23,26,3,13,,,8.48,15.6,7.12,84
MOULD-58B,Tri-Creaser Easy Fit Red Endura Gripper Crease,consumable,Softer Rubber Creasing Band,,23,26,3,13,,,8.48,15.6,7.12,84
MOULD-57B,Tri-Creaser Easy Fit Green Endura Gripper Crease,consumable,Softer Rubber Creasing Band,,23,26,3,13,,,8.48,15.6,7.12,84
MOULD-54B,Tri-Creaser Easy Fit Orange Endura Gripper Crease,consumable,Softer Rubber Creasing Band,,23,26,3,13,,,8.48,15.6,7.12,84
MOULD-53B,Tri-Creaser Easy Fit Blue Endura Gripper Crease,consumable,Softer Rubber Creasing Band,,23,26,3,13,,,8.48,15.6,7.12,84
MOULD-52B,Tri-Creaser Easy Fit Yellow Endura Gripper Crease,consumable,Softer Rubber Creasing Band,,23,26,3,13,,,8.48,15.6,7.12,84
MOULD-50B,Tri-Creaser Easy Fit Red Endura Gripper Crease,consumable,Softer Rubber Creasing Band,,23,26,3,13,,,8.48,15.6,7.12,84
MOULD-49B,Tri-Creaser Easy Fit Green Endura Gripper Crease,consumable,Softer Rubber Creasing Band,,23,26,3,13,,,8.48,15.6,7.12,84
MOULD-48B,Tri-Creaser Easy Fit Yellow Endura Gripper Crease,consumable,Softer Rubber Creasing Band,,23,26,3,13,,,8.48,15.6,7.12,84
MOULD-46B,Tri-Creaser Easy Fit Red Endura Gripper Crease,consumable,Softer Rubber Creasing Band,,23,26,3,13,,,8.48,15.6,7.12,84
MOULD-45B,Tri-Creaser Easy Fit Blue Endura Gripper Crease,consumable,Softer Rubber Creasing Band,,23,26,3,13,,,8.48,15.6,7.12,84
MOULD-44B,Tri-Creaser Easy Fit Yellow Endura Gripper Crease,consumable,Softer Rubber Creasing Band,,23,26,3,13,,,8.48,15.6,7.12,84
MOULD-29B,Tri-Creaser Easy Fit Orange Endura Gripper Crease,consumable,Softer Rubber Creasing Band,,23,26,3,13,,,8.48,15.6,7.12,84
MOULD-93,Quad-Creaser Orange Split Creasing Rib,consumable,Rubber Creasing Band,,19,26,7,36.8,,,8.5,15.6,7.1,83.5
MOULD-92,Quad-Creaser Blue Split Creasing Rib,consumable,Rubber Creasing Band,,19,26,7,36.8,,,8.5,15.6,7.1,83.5
MOULD-91,Quad-Creaser Yellow Split Creasing Rib,consumable,Rubber Creasing Band,,19,26,7,36.8,,,8.5,15.6,7.1,83.5
MOULD-90,Spine- & Quad-Creaser Blue Split Gripper Crease,consumable,Rubber Creasing Band,,19,26,7,36.8,,,8.5,15.6,7.1,83.5
MOULD-89,Spine- & Quad-Creaser Yellow Split Gripper Crease,consumable,Rubber Creasing Band,,19,26,7,36.8,,,8.5,15.6,7.1,83.5
MOULD-87,Quad-Creaser Black Split Gripper Crease,consumable,Rubber Creasing Band,,19,26,7,36.8,,,8.5,15.6,7.1,83.5
MOULD-86,Quad-Creaser Black Split Creasing Rib,consumable,Rubber Creasing Band,,19,26,7,36.8,,,8.5,15.6,7.1,83.5
MOULD-82-X,Quad-Creaser Black Split Gripper Crease,consumable,Rubber Creasing Band,,19,26,7,36.8,,,8.5,15.6,7.1,83.5
MOULD-82,Quad-Creaser Black Split Creasing Rib,consumable,Rubber Creasing Band,,19,26,7,36.8,,,8.5,15.6,7.1,83.5
MOULD-41,Quad-Creaser Pink Split Gripper Crease,consumable,Rubber Creasing Band,,19,26,7,36.8,,,8.5,15.6,7.1,83.5
MOULD-174SX,Spine-Creaser Black Split Gripper Crease,consumable,Rubber Creasing Band,,19,26,7,36.8,,,8.5,15.6,7.1,83.5
CC-MU-01-WASH,Washers for CC-MU-01,consumable,,,2.5,5,2.5,100,,,1.64,3,1.36,82.9
1MM/SHIM-SPACER,Shim Washer 1mm,consumable,,,1.62,5,3.38,208.6,,,1.64,3,1.36,82.9
