product_code,standard_price
MT-CR/36-CAS,432.00
MT-CR/BF-28-CAS,432.00
MT-CR/BF-28-CAS-01,432.00
MT-CR/GU-CAS,432.00
MT-CR/GU-CAS-01,432.00
MT-CR/HO-20-CAS,432.00
MT-CR/SH-65-CAS,432.00
DC-STA-MB/20-FP,418.00
TC-DEL-BF/22-FP,418.00
TC-DEL-BO/35-FP,418.00
TC-DEL-GU/35-FP,418.00
TC-DEL-HH/30-FP,418.00
TC-DEL-MF/30-FP-2,418.00
TC-DEL-MG/15-FP,418.00
TC-DEL-SH/55-FP,418.00
TC-DEL-SH/65-FP,418.00
TC-DEL-SM/35-FP,418.00
TC-DEL-ST/25-FP,418.00
TC-DIG-RO/20-FP,418.00
KC-01-36,382.00
PD-ST/MAILER-FP,356.00
TC-STA-SM/35-FP,350.00
FEMALE-20-FIX,328.00
FEMALE-25,328.00
FEMALE-25-FIX,328.00
FEMALE-25-FIX-V,328.00
FEMALE-30,328.00
FEMALE-30-FIX,328.00
FEMALE-35,328.00
FEMALE-35-FIX,328.00
FEMALE-35-FIX-V,328.00
FEMALE-BF/22,328.00
FEMALE-BF/28,328.00
FEMALE-BF22-FIX,328.00
FEMALE-DM,328.00
FEMALE-DM-FIX,328.00
FEMALE-GUK-35,328.00
FEMALE-GUK-35FIX,328.00
FEMALE-GUK-59.4/OB,328.00
FEMALE-HH/30-FIX,328.00
FEMALE-HH/35,328.00
FEMALE-HO/50,328.00
FEMALE-HO/65,328.00
FEMALE-MB-20-FIX/OC,328.00
FEMALE-MB/20,328.00
FEMALE-MB20-FIX,328.00
FEMALE-RO,328.00
FEMALE-RS-FIX,328.00
MT-BH-01/36,291.00
MT-BH-02/35,291.00
MT-BH-03/25,291.00
MT-BH-04/30,291.00
MT-BH-BF/28,291.00
MT-BH-GUK/35,291.00
MT-BH-HH/30,291.00
MT-BH-HH/35,291.00
MT-BH-HH/45,291.00
MT-BH-HO/20,291.00
MT-BH-MB/20,291.00
MT-BH-MF/40,291.00
MT-BH-SH/55,291.00
MT-BH-SH/65,291.00
PA-WEB,283.00
CP-AP-NSH-BF/28,253.00
CP-AP-NSH-HH/30,253.00
CP-AP-NSH-HH/35,253.00
CP-AP-NSH-HO/20,253.00
CP-AP-NSH-SH/55,253.00
CP-AP-NSH-SH/65,253.00
CP-AP-NSH/25,253.00
CP-AP-NSH/30,253.00
CP-AP-NSH/35,253.00
CP-AP-NSH/36,253.00
CP-AP-NSH/40,253.00
CP-AP-NSH/GUK,253.00
MT-NSH-HH/30,253.00
MT-NSH-HH/35,253.00
MT-NSH-MB/20,253.00
PD-36-FP,250.00
PS-STA-SM/35-FP,190.00
GB-MO,178.00
PD-NSH/MO,158.00
GB-WO/98,142.00
MPB-17/WEB,135.00
MPB-25/WEB,135.00
MPB-40/WEB,135.00
MPB-52/WEB,135.00
MU-GB-80,130.00
SC-10,111.00
SC-17,111.00
GB-BF/22,100.00
GB-GUK-35,100.00
GB-KB/26-FP,100.00
GB-MF/30-FP,100.00
GB-PET/40-FP,100.00
GB-RO,100.00
GB-ROS,100.00
GB-SM/35-FP,100.00
GB-ST/25-FP,100.00
HO-GB-01,100.00
HO-GB-02/VP-66,100.00
HO-GB-03,100.00
MB-GB-01,100.00
QC-GB-01,100.00
SH-GB/55-FP,100.00
SH-GB/65-FP,100.00
UC-GB/29-FP,100.00
MU-GB-01,100.00
MU-GB-02,100.00
MU-GB-03,100.00
2.5MM-ALL-TOOL,11.00
2MM-HEX-TOOL,11.00
3MM-HEX-TOOL,11.00
3MM-L-WRE,11.00
4MM-ALL-TOOL,11.00
4MM-HEX-TOOL,11.00
5MM-HEX-TOOL,11.00
5MM-L-WRE-BALL,11.00
5MM-LO/HEX-WRE,11.00
8TORX-TOOL,11.00
MB-SPRING,11.00
10MMX14-SCREWS,3.50
10MMX18-SCREWS,3.50
25MM-HO-SPRING,3.50
4MMX4,3.50
5MMX10-SCREWS,3.50
5MMX35-SCREWS,3.50
5MMX6-DOM-SCREWS,3.50
6MM-SCREWS,3.50
6MMX36-SCREWS,3.50
6MMX6.5SCREWS,3.50
6MMX8-SCREWS,3.50
6X25SCREWS,3.50
8MMX6-SCREWS,3.50
KB-SPRING,3.50
50MM-BOLT,3.50
CC-MU-01-BOLT,3.50
M3X5.8-TORX-SCREW,3.50
0.1MM/SHIM-SPACER,3.50
0.5MM/SHIM-SPACER,3.50
1MM/SHIM-SPACER,3.50
CC-MU-01-WASH,3.50
