Product Code,Description,Type,Category,Gina Old Distributor Price (£),New Distributor Price (£),Price Change (£),Price Change (%)
MPB-17/BF/22MM,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-17/BF/28MM,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-17/MF-40,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-17/RO,17 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-17/SH-55,Micro-Perf Blade - 17 TPI - Shoei 55mm,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-17/SH-65,Micro Perf Blade - 17 TPI - Shoei 65mm,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-17/WEB,Micro-Perf Blade for Web Perforator 17TPI,consumable,Micro-Perforation Blade,135.00,59.40,-75.60,-56.0
MPB-25,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-25-GUK,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-25-HH/30MM,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-25/25MM,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-25/30MM,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-25/46MM,Micro-Perf Blade - 25 TPI - 46mm I/D,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-25/4SHEET,25 tpi Micro-Perforation Blade with extra tie depth,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-25/50MM,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,39.00,59.40,20.40,52.3
MPB-25/BF/22MM,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-25/BF/28MM,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-25/MF-40,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-25/MO,25 tpi Split Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-25/RO,25 tpi Micro-Perforation Blade,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-25/SH-55,Micro-Perf Blade - 25 TPI - Shoei 55mm,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-25/SH-65,Micro-Perf Blade - 25 TPI - Shoei 65mm,consumable,Micro-Perforation Blade,32.00,59.40,27.40,85.6
MPB-25/WEB,Micro-Perf Blades for Web Perforator 25TPI,consumable,Micro-Perforation Blade,135.00,59.40,-75.60,-56.0
