Product Code,Description,Sales Price,Cost Price,Type,Category,Margin %,Gina Pricing,Gina %,Uwe Pricing,Uwe %,New Distributor Price,New Distributor Price %,Price Difference,Last Order Date
MOULD-123BSX,Tri-Creaser Fast Fit Blue Endura Split Gripper Crease,26,2.23,consumable,Rubber Creasing Band,91.4,11.23,43.2,11.23,43.2,15.60,60.0,4.37,15/06/2021
MOULD-123-SX,Tri-Creaser Fast Fit Blue Split Gripper Crease,23,1.76,consumable,Rubber Creasing Band,92.3,9.85,42.8,9.85,42.8,13.80,60.0,3.95,28/01/2026
MOULD-123,Tri-Creaser Fast Fit Blue Split Gripper Crease with lugs,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,12/08/2024
MOULD-122BSX,Tri-Creaser Fast Fit Yellow Endura Split Gripper Crease,26,2.5,consumable,Rubber Creasing Band,90.4,11.23,43.2,11.23,43.2,15.60,60.0,4.37,18/03/2025
MOULD-122-SX,Tri-Creaser Fast Fit Yellow Split Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,28/01/2026
MOULD-122,Tri-Creaser Fast Fit Yellow Split Gripper Crease with lugs,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,08/09/2021
MOULD-121SB,Tri-Creaser Fast Fit Orange Split Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,14/08/2025
MOULD-121B-SB,Tri-Creaser Fast Fit Red Endura Split Gripper Crease,26,2.65,consumable,Rubber Creasing Band,89.8,11.23,43.2,11.23,43.2,15.60,60.0,4.37,18/09/2023
MOULD-120SB,Tri-Creaser Fast Fit Blue Split Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,14/08/2025
MOULD-120B-SB,Tri-Creaser Fast Fit Green Endura Split Gripper Crease,26,2.65,consumable,Rubber Creasing Band,89.8,11.23,43.2,11.23,43.2,15.60,60.0,4.37,18/09/2023
MOULD-12,Orange Dot Insert - for 35/36mm Shaft,15,1.15,consumable,Rubber Creasing Band,92.3,5.93,39.5,5.93,39.5,9.00,60.0,3.07,12/09/2025
MOULD-119SB,Tri-Creaser Fast Fit Yellow Split Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,19/01/2026
MOULD-119B-SB,Tri-Creaser Fast Fit Pink Endura Split Gripper Crease,26,2.65,consumable,Rubber Creasing Band,89.8,11.23,43.2,11.23,43.2,15.60,60.0,4.37,18/09/2023
MOULD-118SB,Tri-Creaser Fast Fit Orange Split Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,25/11/2025
MOULD-118B-SB,Tri-Creaser Fast Fit Orange Endura Split Gripper Crease,26,2.65,consumable,Rubber Creasing Band,89.8,11.23,43.2,11.23,43.2,15.60,60.0,4.37,09/06/2025
MOULD-118B,Red  EnduraCrease Fast Fit MB 20mm Split lugged,26,2.73,consumable,Rubber Creasing Band,89.5,11.23,43.2,11.23,43.2,15.60,60.0,4.37,31/03/2016
MOULD-118-BX,Tri-Creaser Fast Fit Orange Endura Split Gripper Crease,26,2.75,consumable,Rubber Creasing Band,89.4,11.23,43.2,11.23,43.2,15.60,60.0,4.37,15/07/2016
MOULD-118,Orange Fast Fit MB 20mm Split Lugged Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,29/07/2025
MOULD-117SB,Tri-Creaser Fast Fit Blue Split Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,25/11/2025
MOULD-117B-SB,Tri-Creaser Fast Fit Blue Endura Split Gripper Crease,26,2.65,consumable,Rubber Creasing Band,89.8,11.23,43.2,11.23,43.2,15.60,60.0,4.37,09/06/2025
MOULD-117B,Blue  EnduraCrease Fast Fit MB 20mm Split Lugged  Crease,26,2.73,consumable,Rubber Creasing Band,89.5,11.23,43.2,11.23,43.2,15.60,60.0,4.37,31/03/2016
MOULD-117-BX,Tri-Creaser Fast Fit Blue Endura Split Gripper Crease,26,2.75,consumable,Rubber Creasing Band,89.4,11.23,43.2,11.23,43.2,15.60,60.0,4.37,15/07/2016
MOULD-117,Blue Fast Fit MB 20mm Split Lugged Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,21/03/2024
MOULD-116,Orange Fast Fit Rollem Split Lugged Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,24/06/2022
MOULD-115X,Quad-Creaser Blue Split Creasing Rib,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,14/11/2025
MOULD-115,Blue Fast-Fit Rollem Split Lugged Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,26/05/2022
MOULD-114SB,Tri-Creaser Fast Fit Orange Split Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,28/04/2025
MOULD-114B-XTRA,Tri-Creaser Fast Fit Orange Endura Split Gripper Crease,26,2.35,consumable,Rubber Creasing Band,91.0,11.23,43.2,11.23,43.2,15.60,60.0,4.37,04/03/2021
MOULD-114,Orange Fast-Fit GUK 59.4mm Split Lugged Gripper Crease,23,1.76,consumable,Rubber Creasing Band,92.3,9.85,42.8,9.85,42.8,13.80,60.0,3.95,04/06/2025
MOULD-113SB,Tri-Creaser Fast Fit Blue Split Gripper Crease,23,1.81,consumable,Rubber Creasing Band,92.1,9.85,42.8,9.85,42.8,13.80,60.0,3.95,04/04/2025
MOULD-113B-XTRA,Tri-Creaser Fast Fit Green Endura Split Gripper Crease,26,2.35,consumable,Rubber Creasing Band,91.0,11.23,43.2,11.23,43.2,15.60,60.0,4.37,19/11/2021
MOULD-113,Blue Fast-Fit GUK 59.4mm Split Lugged Gripper Crease,23,1.76,consumable,Rubber Creasing Band,92.3,9.85,42.8,9.85,42.8,13.80,60.0,3.95,04/06/2025
