product_code,cost_price,,
FF-DSF/RO-NY-R,6.69,,
FF-DSF/RO-NY-Y,7.20,,
FF-DSF/ROS-NY-B,16.36,,
FF-DSF/ROS-NY-O,17.96,,
FF-DSF/ROS-NY-Y,17.09,,
FF-DU/DSF-FP-01,70.39,,
FF-DU/DSF-FP-02,81.64,,
FF-GU/35-DSF,92.97,,
FF-GU/35-FIX-01,81.81,,
FF-GU/35-FP-01,171.92,,
FF-GW-FP-01-B,146.25,,
FF-HH/20-FIX,135.25,,
FF-HH/30-FIX-3FEM-01,118.94,,
FF-HH/35-DSF,118.07,,
FF-HH/35-FP-01,86.38,,
FF-HH/40-FIX,119.07,,
FF-HO/20-DSF,143.21,,
FF-HO/65-FP,146.54,,
FF-LO-01,139.44,,
FF-MB/20-DSF,141.55,,
FF-MB/20-FP-01,95.63,,
FF-MF/30-FP-01,87.58,,
FF-MF/40-FIX-01,140.72,,
FF-PC-BF/28-B,6.31,,
FF-PC-BF/28-R,6.38,,
FF-PC-BF/28-Y,6.38,,
FF-PC-GU/35-B,8.52,,
FF-PC-GU/35-R,8.52,,
FF-PC-GU/35-Y,9.51,,
FF-PC-HH/30-Y,12.77,,
FF-PC-HH/35,13.50,,
FF-PC-HO/50-B,6.09,,
FF-PC-HO/50-R,8.93,,
FF-PC-HO/50-Y,8.59,,
FF-PC-MB/20,17.95,,
FF-PC-MB/20-Y,17.95,,
FF-PC-RO/25-B,5.36,,
FF-PC-RO/25-R,5.36,,
FF-PC-RO/25-Y,5.36,,
FF-PC-ROS/25-B,9.92,,
FF-PC-SH/55-ADJ-B,4.32,,
FF-PC-SH/55-ADJ-Y,4.32,,
FF-PC-SH/55-B,5.32,,
FF-PC-SH/55-Y,5.32,,
FF-PC-SH/65-Y,13.80,,
FF-PC-ZA/40-B,6.37,,
FF-PC-ZA/40-Y,6.37,,
FF-PC/25,3.27,,
FF-PC/25-R,12.08,,
FF-PC/25-W,3.50,,
FF-PC/25-Y,3.31,,
FF-PC/30,3.27,,
FF-PC/30-B,3.42,,
FF-PC/30-R,3.27,,
FF-PC/30-Y,3.31,,
FF-PC/35,3.27,,
FF-PC/35-B,3.42,,
FF-PC/35-R,3.27,,
FF-PC/35-Y,3.31,,
FF-PC/DM-B,6.19,,
FF-PC/DM-R,6.65,,
FF-PC/DM-Y,6.18,,
FF-PI/27-FIX-01,92.48,,
FF-RO/25-DSF,127.97,,
FF-RO/25-FP-SV,64.12,,
FF-SH/15-FP-01-B,122.74,,
FF-SH/55-FP,107.69,,
FF-SH/55-FP-SV,133.38,,
FF-SH/65-FIX,53.06,,
FF-SH/65-FP,88.73,,
FF-SH/65-FP-SV,14.81,,
